iter	Passed	Remaining
0	139	138894
1	139	69758
2	140	46753
3	141	35247
4	142	28312
5	142	23643
6	143	20313
7	143	17819
8	144	15881
9	144	14330
10	145	13058
11	145	12001
12	146	11104
13	146	10343
14	147	9677
15	147	9095
16	148	8579
17	149	8131
18	149	7726
19	150	7357
20	150	7024
21	151	6724
22	151	6449
23	152	6197
24	152	5965
25	153	5748
26	153	5547
27	154	5362
28	155	5190
29	155	5033
30	156	4885
31	156	4745
32	157	4612
33	157	4485
34	158	4367
35	158	4257
36	159	4150
37	159	4050
38	160	3954
39	160	3863
40	161	3776
41	161	3694
42	162	3614
43	162	3539
44	163	3467
45	163	3400
46	164	3336
47	165	3274
48	165	3215
49	166	3157
50	166	3103
51	167	3050
52	167	2998
53	168	2948
54	168	2901
55	169	2855
56	169	2810
57	170	2767
58	170	2725
59	171	2685
60	172	2647
61	172	2610
62	173	2573
63	173	2538
64	174	2504
65	174	2470
66	175	2437
67	175	2402
68	175	2371
69	176	2340
70	176	2311
71	177	2283
72	177	2255
73	178	2228
74	178	2203
75	179	2179
76	179	2156
77	180	2132
78	180	2109
79	181	2086
80	181	2063
81	182	2040
82	182	2019
83	183	1999
84	183	1977
85	184	1957
86	184	1936
87	185	1917
88	185	1899
89	186	1881
90	186	1866
91	187	1850
92	188	1833
93	188	1817
94	189	1800
95	189	1784
96	189	1768
97	190	1752
98	190	1737
99	191	1723
100	192	1709
101	192	1693
102	192	1678
103	193	1664
104	193	1651
105	194	1638
106	194	1626
107	195	1613
108	195	1601
109	196	1588
110	196	1576
111	197	1563
112	197	1552
113	198	1541
114	198	1529
115	199	1517
116	199	1506
117	200	1495
118	200	1483
119	200	1473
120	201	1463
121	201	1453
122	202	1442
123	202	1433
124	203	1424
125	204	1415
126	204	1406
127	204	1396
128	205	1387
129	205	1378
130	206	1369
131	206	1360
132	207	1352
133	207	1343
134	208	1334
135	208	1326
136	209	1318
137	209	1310
138	210	1303
139	210	1296
140	211	1288
141	211	1280
142	212	1272
143	212	1265
144	213	1258
145	213	1250
146	214	1243
147	214	1236
148	215	1229
149	215	1222
150	216	1215
151	216	1209
152	217	1204
153	218	1198
154	218	1192
155	219	1186
156	219	1179
157	220	1174
158	220	1168
159	221	1162
160	221	1156
161	222	1150
162	222	1144
163	223	1139
164	224	1133
165	224	1128
166	225	1123
167	225	1118
168	226	1112
169	226	1107
170	227	1101
171	227	1095
172	228	1090
173	228	1085
174	229	1080
175	229	1075
176	230	1070
177	230	1065
178	231	1061
179	231	1055
180	232	1050
181	232	1045
182	233	1041
183	233	1037
184	234	1032
185	234	1027
186	235	1022
187	235	1018
188	236	1013
189	236	1009
190	237	1004
191	237	1000
192	238	996
193	238	991
194	239	987
195	239	983
196	240	979
197	240	976
198	241	971
199	241	967
200	242	963
201	242	959
202	243	955
203	243	952
204	244	947
205	244	943
206	245	940
207	245	936
208	246	932
209	246	928
210	247	926
211	248	923
212	248	919
213	249	916
214	250	913
215	250	909
216	251	906
217	251	903
218	252	899
219	252	896
220	253	892
221	253	889
222	254	885
223	254	882
224	255	878
225	255	876
226	256	873
227	256	869
228	257	866
229	257	863
230	258	859
231	258	856
232	259	853
233	259	850
234	260	847
235	260	844
236	261	841
237	261	838
238	262	835
239	263	833
240	263	830
241	264	828
242	264	825
243	265	822
244	265	819
245	266	816
246	266	813
247	267	810
248	267	807
249	268	804
250	268	802
251	269	799
252	269	796
253	270	793
254	271	792
255	271	789
256	272	787
